review_id,date,rating,review_text,theme_id,theme_name
cefc58d0-c382-460e-98c1-54f5efd50408,2026-02-05 01:10:27,1,worst experience. whenever I try to link my bank account every time app crashed.,0,Delivery & Logistics
ac052f7b-04be-4256-a955-ec84db8863e4,2026-02-04 23:56:59,1,😡😡😡😡😡😡😡😡😡😡😡😡amezon wale ek to totally wrong product bhej te hai or refund dene me bhi 10-12 din laga te hai....😡😡😡😡. un logo ki mistake hone per bhi hame refund lene ke liye 10-12 din wait karna padta hai....,0,Delivery & Logistics
06f391ea-8823-4161-be1a-2a5ab447dbf3,2026-02-04 22:56:57,1,I order an item and they said one week and it's been 3 weeks I can't even register a complaint or an action their app interface is very difficult use and this is the worst experience i ever experienced in an online shopping platform very disappointing 😞 😔,1,Payments & Refunds
1ef5e84a-6ff9-4cf4-9c5e-76076695b8e2,2026-02-04 22:26:08,1,"this hi not good amazon for tha let deliver In this amazon company,",0,Delivery & Logistics
02564f9d-e56e-4af0-8149-a5514d9971c8,2026-02-04 22:04:50,1,"price wise fraud company, for one week they will show 900+ after one month suddenly it will show as 500₹. if we review negative about this, these people will not publish. and they will reject by saying policy violation.",1,Payments & Refunds
e494d000-9e06-4596-8296-fbbf1469239f,2026-02-04 22:01:07,1,"bad service experience I booked an order and it was not delivered to me, but the status shows that it was delivered, and this has happened to me twice.",0,Delivery & Logistics
7108f4a4-51ad-4b17-b5e8-9bc8acae5808,2026-02-04 21:48:57,1,Really horrible exp. Every time I open the camera for a return process or even move the app in the background the app re-started. Really horrible memory management,2,App Experience & Stability
f2ec7d2f-10fa-4275-a939-f08a7bb9778f,2026-02-04 21:38:02,1,customer service is too bad. delivery agent doesn't give response. I will never buy anything from Now,0,Delivery & Logistics
cb9183b6-c698-4c56-8836-cf77a16579c3,2026-02-04 21:36:52,1,worst experience 4 time they have sheduled and canceled my delivery and rescheduling with out delivery attempts pathetic,0,Delivery & Logistics
916216c4-025c-4882-bfc0-4e795e47d2ae,2026-02-04 21:29:55,1,"Horrible experience. I had ordered medicines and oil for which i prepaid the order . But ,they keep delaying the delivery, everyday they send me messages that parcel is out for delivery but never delivers. I have complained 4 times in the customer care but they don't respond . Everyday they say that the issue will be resolved but nothing happens . Neither they deliver nor they refund. Please beware before shopping from Amazon. Frauds like these frequently happen while shopping from Amazon",0,Delivery & Logistics
5f646d1e-9f69-4898-8f85-55576ac5b71f,2026-02-04 21:20:35,1,"They are a fraud, sent a damaged product then with 10 days return & exchange option, but the delivery agent didn't Mark as delivered till now, I received damaged product by 8:20 approx it's 9:19 now but delivery agent didn't Mark as delivered I called him several times but he gave excuses till now. & no customer support from Amazon side, fake, fraud site to purchase anything now, they broke years of trust now.",1,Payments & Refunds
ccde6ef2-d220-43bc-a541-47f0a1e8c632,2026-02-04 21:18:17,1,very Bad behaviour delivery boy,0,Delivery & Logistics
38e03439-fe75-442c-a503-66a7ab8c2366,2026-02-04 21:03:26,1,"Amazon is cheating its customers.I was given tiles instead of a mobile phone, and the company has not yet processed my return.Its service is very useless.",0,Delivery & Logistics
ba60d57e-5b1c-4c04-9da1-a4ab60d94175,2026-02-04 20:37:54,1,"what update you have done to mobile with big screens , buttons overlapped and difficult to click. had to open laptop for simple return process.",2,App Experience & Stability
fb8d7056-0535-485f-b024-0732e14fe4e8,2026-02-04 20:37:46,1,don't buy anything from this app because few one week before I just ordered one clutch GT 650 gaming mouse RGB lighted they just I got received wrong material totally wrong and different marks and then I have given request to refund so after one week I didn't get my refund so I call three times to Amazon service customer care so then after they are just cut the call after my listening appeal and they just saying again and again that we cannot give your refund because we got wrong material so wha,1,Payments & Refunds
26aa13bc-dd1f-41c3-9393-22642332256f,2026-02-04 20:37:01,1,Amazon sopping is very lose and costume help is not good,0,Delivery & Logistics
8b55b58e-1ae0-4213-b935-ad25d33ecd98,2026-02-04 20:22:39,1,my first order in issue and I have not order but showing out of delivery,0,Delivery & Logistics
8d25a7e0-cd4a-4ce6-be74-664ac80804f4,2026-02-04 20:18:52,1,"I had ordered a sunglasses for my sister's wedding. I didn't get the order in the given date,when I enquired , I asked them, they said the order was sent to seller, but in app it displayed that some error had occurred on order section.NOT TRUSTWORTHY APP.WORST APP.DONT DOWNLOAD THIS APP ,WITHOUT SEEING MY REVIEW ,OR YOU PEOPLE WILL REGRET",0,Delivery & Logistics
377d990b-1b11-46e6-9866-2f343b88709a,2026-02-04 19:55:48,1,"don't use this instead use flipkart or other platforms,they delay in delivery and even after several complaint to customer service they don't mind anything, couldn't able to contact delivery agency or agents ,so don't order anything from this.",0,Delivery & Logistics
9e618d30-9793-4941-8808-4f9d4a054372,2026-02-04 19:51:18,1,Wrong product delivered and even not refunded . After calling customer care my product review box was also deactivated . Now I am going to switch to filpkart where they provide better customer service.,1,Payments & Refunds
